UMAP_1	UMAP_2	Highlight	cell_id
6.200658788	-7.337058964	none	cell688
4.626365175	-7.194305363	none	cell689
5.716957082	-9.065983239	none	cell690
4.329693308	-7.603175583	none	cell691
-5.52953435	0.0695191	Epithelials	cell692
11.14641093	-6.644766274	none	cell693
4.51859807	-9.19479126	none	cell694
5.245915403	-8.959388199	none	cell695
9.888242712	-6.59028143	none	cell696
5.990897646	-8.89157528	none	cell697
4.99784564	-6.812635842	none	cell698
3.058160295	-7.212165299	none	cell699
3.954500665	-8.537331048	none	cell700
10.97127913	-6.257035199	none	cell701
5.684259882	-8.162968579	none	cell702
4.717027654	-7.038450661	none	cell703
7.881605138	-7.763419571	none	cell704
3.641048898	-7.269482079	none	cell705
5.653207769	-8.305159989	none	cell706
6.690180292	-5.882621708	none	cell707
3.779090871	-7.494533482	none	cell708
4.274725427	-9.045110169	none	cell709
9.508548727	-6.501294079	none	cell710
5.145362844	-9.252594414	none	cell711
5.542888155	-7.661508027	none	cell712
4.566363802	-6.970314923	none	cell713
5.159779062	-7.734018746	none	cell714
4.085044851	-7.591932717	none	cell715
3.706544389	-6.957299176	none	cell716
4.323703279	-8.117710057	none	cell717
5.691773882	-7.376272145	none	cell718
6.532359113	-7.507924023	none	cell719
4.368866911	-7.359584752	none	cell720
5.717472543	-7.303924027	none	cell721
4.80674838	-8.381757203	none	cell722
4.629534712	-9.083147469	none	cell723
